Kp,3,Ki,0.03,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
844.635,-46.8585,17.4631,137.748,-334.136,140,-330
850.459,-46.8585,17.4631,137.748,-334.136,140,-330
856.648,-46.8585,17.4631,137.748,-334.136,140,-330
862.65,-46.8585,17.4631,137.748,-334.136,140,-330
868.476,-46.8585,17.4631,137.748,-334.136,140,-331
874.406,-46.8585,17.4631,137.748,-334.136,140,-331
880.491,-45.0921,16.6149,132.024,-368.497,140,-331
886.507,-45.0921,16.6149,132.024,-368.497,140,-333
892.49,-45.0921,16.6149,132.024,-368.497,138,-345
898.675,-45.0921,16.6149,132.024,-368.497,136,-359
904.499,-45.0921,16.6149,132.024,-368.497,135,-364
910.608,-45.0921,16.6149,132.024,-368.497,133,-366
916.526,-45.0921,16.6149,132.024,-368.497,133,-367
922.513,-45.0921,16.6149,132.024,-368.497,133,-368
928.516,-45.0921,16.6149,132.024,-368.497,132,-369
934.693,-45.0921,16.6149,132.024,-368.497,132,-369
940.699,-45.0921,16.6149,132.024,-368.497,132,-369
946.449,-45.0921,16.6149,132.024,-368.497,132,-369
953.58,-43.3205,15.491,126.45,-376.866,131,-369
959.707,-43.3205,15.491,126.45,-376.866,130,-369
965.644,-43.3205,15.491,126.45,-376.866,128,-372
971.654,-43.3205,15.491,126.45,-376.866,127,-373
977.648,-43.3205,15.491,126.45,-376.866,126,-374
983.481,-43.3205,15.491,126.45,-376.866,125,-375
989.543,-43.3205,15.491,126.45,-376.866,125,-375
995.546,-43.3205,15.491,126.45,-376.866,125,-375
1001.54,-43.3205,15.491,126.45,-376.866,125,-375
1007.56,-43.3205,15.491,126.45,-376.866,125,-375
1013.57,-43.3205,15.491,126.45,-376.866,125,-375
1019.6,-43.3205,15.491,126.45,-376.866,125,-375
1025.58,-43.3205,15.491,126.45,-376.866,125,-375
1031.58,-41.2322,13.5412,126.45,-376.866,125,-375
1037.58,-41.2322,13.5412,119.793,-422.238,125,-375
1043.69,-41.2322,13.5412,119.793,-422.238,124,-378
1049.7,-41.2322,13.5412,119.793,-422.238,123,-394
1055.59,-41.2322,13.5412,119.793,-422.238,122,-411
1061.72,-41.2322,13.5412,119.793,-422.238,121,-418
1067.79,-41.2322,13.5412,119.793,-422.238,121,-420
1073.63,-41.2322,13.5412,119.793,-422.238,121,-422
1079.8,-41.2322,13.5412,119.793,-422.238,121,-422
1085.65,-41.2322,13.5412,119.793,-422.238,121,-422
1091.81,-41.2322,13.5412,119.793,-422.238,121,-423
1097.81,-41.2322,13.5412,119.793,-422.238,121,-423
1103.67,-41.2322,13.5412,119.793,-422.238,121,-423
1109.64,-41.2322,13.5412,119.793,-422.238,121,-423
1116.66,-38.5521,10.0717,110.8,-446.388,121,-423
1122.58,-38.5521,10.0717,110.8,-446.388,121,-424
1128.63,-38.5521,10.0717,110.8,-446.388,118,-429
1134.58,-38.5521,10.0717,110.8,-446.388,115,-438
1140.71,-38.5521,10.0717,110.8,-446.388,113,-442
1146.73,-38.5521,10.0717,110.8,-446.388,111,-443
1152.64,-38.5521,10.0717,110.8,-446.388,111,-443
1158.64,-38.5521,10.0717,110.8,-446.388,111,-444
1164.76,-38.5521,10.0717,110.8,-446.388,111,-444
1170.75,-38.5521,10.0717,110.8,-446.388,111,-444
1176.77,-38.5521,10.0717,110.8,-446.388,111,-444
1182.74,-38.5521,10.0717,110.8,-446.388,111,-444
1188.69,-38.5521,10.0717,110.8,-446.388,111,-444
1194.63,-38.5521,10.0717,110.8,-446.388,111,-444
1200.75,-35.4741,5.16997,110.8,-446.388,111,-444
1206.72,-35.4741,5.16997,101.023,-456.53,111,-444
1212.89,-35.4741,5.16997,101.023,-456.53,109,-448
1218.8,-35.4741,5.16997,101.023,-456.53,106,-452
1224.7,-35.4741,5.16997,101.023,-456.53,104,-453
1230.79,-35.4741,5.16997,101.023,-456.53,104,-454
1236.8,-35.4741,5.16997,101.023,-456.53,103,-455
1242.83,-35.4741,5.16997,101.023,-456.53,102,-455
1248.91,-35.4741,5.16997,101.023,-456.53,102,-455
1254.92,-35.4741,5.16997,101.023,-456.53,102,-455
1260.92,-35.4741,5.16997,101.023,-456.53,102,-455
1266.78,-35.4741,5.16997,101.023,-456.53,102,-456
1273.76,-35.4741,5.16997,101.023,-456.53,102,-456
1279.74,-31.6772,-0.643629,87.3619,-375.352,102,-456
1285.93,-31.6772,-0.643629,87.3619,-375.352,102,-455
1291.8,-31.6772,-0.643629,87.3619,-375.352,100,-451
1297.87,-31.6772,-0.643629,87.3619,-375.352,96,-435
1303.75,-31.6772,-0.643629,87.3619,-375.352,92,-419
1309.75,-31.6772,-0.643629,87.3619,-375.352,90,-410
1315.88,-31.6772,-0.643629,87.3619,-375.352,89,-407
1321.89,-31.6772,-0.643629,87.3619,-375.352,89,-404
1327.77,-31.6772,-0.643629,87.3619,-375.352,89,-402
1333.9,-31.6772,-0.643629,87.3619,-375.352,89,-401
1339.79,-31.6772,-0.643629,87.3619,-375.352,88,-400
1345.78,-31.6772,-0.643629,87.3619,-375.352,88,-398
1352.17,-29.2081,-7.38072,87.3619,-375.352,88,-396
1357.8,-29.2081,-7.38072,82.8399,-353.194,88,-395
1363.99,-29.2081,-7.38072,82.8399,-353.194,88,-388
1369.82,-29.2081,-7.38072,82.8399,-353.194,86,-371
1375.83,-29.2081,-7.38072,82.8399,-353.194,84,-354
1381.8,-29.2081,-7.38072,82.8399,-353.194,84,-347
1387.93,-29.2081,-7.38072,82.8399,-353.194,84,-345
1394.08,-29.2081,-7.38072,82.8399,-353.194,84,-343
1399.83,-29.2081,-7.38072,82.8399,-353.194,84,-342
1405.89,-29.2081,-7.38072,82.8399,-353.194,83,-340
1411.85,-29.2081,-7.38072,82.8399,-353.194,83,-340
1417.87,-29.2081,-7.38072,82.8399,-353.194,83,-339
1423.9,-29.2081,-7.38072,82.8399,-353.194,83,-338
1429.78,-29.2081,-7.38072,82.8399,-353.194,83,-337
1435.85,-26.2595,-15.1096,73.2552,59.8062,83,-336
1441.86,-26.2595,-15.1096,73.2552,59.8062,83,-334
1447.86,-26.2595,-15.1096,73.2552,59.8062,83,-320
1453.79,-26.2595,-15.1096,73.2552,59.8062,82,-291
1459.84,-26.2595,-15.1096,73.2552,59.8062,82,-247
1465.93,-26.2595,-15.1096,73.2552,59.8062,81,-189
1471.93,-26.2595,-15.1096,73.2552,59.8062,79,-121
1477.85,-26.2595,-15.1096,73.2552,59.8062,78,-57
1483.9,-26.2595,-15.1096,73.2552,59.8062,76,-3
1490.07,-26.2595,-15.1096,73.2552,59.8062,76,37
1495.9,-26.2595,-15.1096,73.2552,59.8062,75,61
1501.97,-26.2595,-15.1096,73.2552,59.8062,75,70
1508.49,-26.2595,-15.1096,73.2552,59.8062,75,72
1514.83,-26.2595,-15.1096,73.2552,59.8062,75,73
1520.93,-22.8005,-23.3439,62.1761,84.8518,75,74
1526.9,-22.8005,-23.3439,62.1761,84.8518,72,77
1533,-22.8005,-23.3439,62.1761,84.8518,67,82
1538.91,-22.8005,-23.3439,62.1761,84.8518,64,83
1545.01,-22.8005,-23.3439,62.1761,84.8518,63,84
1551.02,-22.8005,-23.3439,62.1761,84.8518,62,84
1557,-22.8005,-23.3439,62.1761,84.8518,62,85
1563.04,-22.8005,-23.3439,62.1761,84.8518,62,85
1569.02,-22.8005,-23.3439,62.1761,84.8518,62,85
1575.14,-22.8005,-23.3439,62.1761,84.8518,61,85
1581.14,-22.8005,-23.3439,62.1761,84.8518,61,85
1587.01,-22.8005,-23.3439,62.1761,84.8518,61,85
1593.96,-22.8005,-23.3439,62.1761,84.8518,60,85
1599.98,-18.918,-31.8564,49.455,111.572,60,85
1606.15,-18.918,-31.8564,49.455,111.572,59,87
1612.06,-18.918,-31.8564,49.455,111.572,57,97
1618.06,-18.918,-31.8564,49.455,111.572,54,105
1624.06,-18.918,-31.8564,49.455,111.572,53,107
1630.08,-18.918,-31.8564,49.455,111.572,53,108
1636.07,-18.918,-31.8564,49.455,111.572,52,109
1642.09,-18.918,-31.8564,49.455,111.572,52,109
1648.02,-18.918,-31.8564,49.455,111.572,52,109
1654.19,-18.918,-31.8564,49.455,111.572,51,109
1660.19,-18.918,-31.8564,49.455,111.572,51,109
1666.04,-18.918,-31.8564,49.455,111.572,51,110
1671.94,-18.918,-31.8564,49.455,111.572,51,110
1678.02,-14.5919,-40.5162,35.5504,138.013,50,110
1684.03,-14.5919,-40.5162,35.5504,138.013,49,112
1690.15,-14.5919,-40.5162,35.5504,138.013,46,121
1696.21,-14.5919,-40.5162,35.5504,138.013,43,133
1702.16,-14.5919,-40.5162,35.5504,138.013,41,136
1708.05,-14.5919,-40.5162,35.5504,138.013,40,137
1714.22,-14.5919,-40.5162,35.5504,138.013,39,138
1720.17,-14.5919,-40.5162,35.5504,138.013,39,138
1726.08,-14.5919,-40.5162,35.5504,138.013,39,138
1732.05,-14.5919,-40.5162,35.5504,138.013,38,138
1738.06,-14.5919,-40.5162,35.5504,138.013,38,138
1744.06,-14.5919,-40.5162,35.5504,138.013,38,138
1749.99,-14.5919,-40.5162,35.5504,138.013,38,138
1756.57,-9.58372,-48.4002,1500,159.999,37,138
1762.26,-9.58372,-48.4002,1500,159.999,37,138
1768.18,-9.58372,-48.4002,1500,159.999,39,138
1774.17,-9.58372,-48.4002,1500,159.999,52,138
1780.18,-9.58372,-48.4002,1500,159.999,84,139
1786.19,-9.58372,-48.4002,1500,159.999,139,139
1792.09,-9.58372,-48.4002,1500,159.999,211,139
1798.19,-9.58372,-48.4002,1500,159.999,295,140
1804.09,-9.58372,-48.4002,1500,159.999,393,141
1810.21,-9.58372,-48.4002,1500,159.999,504,142
1816.3,-9.58372,-48.4002,1500,159.999,627,144
1822.23,-9.58372,-48.4002,1500,159.999,751,145
1828.07,-9.58372,-48.4002,1500,159.999,868,146
1834.06,-9.58372,-48.4002,1500,159.999,992,147
1840.17,-4.06406,-55.8608,1500,159.999,1114,149
1846.12,-4.06406,-55.8608,1500,180.586,1212,150
1852.23,-4.06406,-55.8608,1500,180.586,1298,151
1858.21,-4.06406,-55.8608,1500,180.586,1372,152
1864.23,-4.06406,-55.8608,1500,180.586,1431,153
1870.22,-4.06406,-55.8608,1500,180.586,1472,154
1876.19,-4.06406,-55.8608,1500,180.586,1497,155
1882.34,-4.06406,-55.8608,1500,180.586,1508,156
1888.35,-4.06406,-55.8608,1500,180.586,1509,156
1894.35,-4.06406,-55.8608,1500,180.586,1504,156
1900.35,-4.06406,-55.8608,1500,180.586,1484,156
1906.18,-4.06406,-55.8608,1500,180.586,1445,156
1912.11,-4.06406,-55.8608,1500,180.586,1389,156
1918.11,-4.06406,-55.8608,1500,180.586,1315,157
1924.23,2.6844,-62.6561,1500,180.586,1220,158
1930.19,2.6844,-62.6561,1479.85,200.145,1113,159
1936.16,2.6844,-62.6561,1479.85,200.145,994,160
1942.25,2.6844,-62.6561,1479.85,200.145,876,161
1948.26,2.6844,-62.6561,1479.85,200.145,767,162
1954.26,2.6844,-62.6561,1479.85,200.145,672,163
1960.27,2.6844,-62.6561,1479.85,200.145,594,163
1966.27,2.6844,-62.6561,1479.85,200.145,531,164
1972.3,2.6844,-62.6561,1479.85,200.145,482,164
1978.27,2.6844,-62.6561,1479.85,200.145,446,164
1984.2,2.6844,-62.6561,1479.85,200.145,424,165
1990.35,11.1585,-68.8798,1479.85,200.145,416,165
1996.29,11.1585,-68.8798,1224.3,220.741,405,165
2002.31,11.1585,-68.8798,1224.3,220.741,380,168
2008.29,11.1585,-68.8798,1224.3,220.741,347,170
2014.29,11.1585,-68.8798,1224.3,220.741,322,172
2020.31,11.1585,-68.8798,1224.3,220.741,312,173
2026.26,11.1585,-68.8798,1224.3,220.741,313,175
2032.44,11.1585,-68.8798,1224.3,220.741,323,176
2038.3,11.1585,-68.8798,1224.3,220.741,348,177
2044.28,11.1585,-68.8798,1224.3,220.741,393,178
2050.46,11.1585,-68.8798,1224.3,220.741,456,179
2056.28,11.1585,-68.8798,1224.3,220.741,536,181
2062.37,11.1585,-68.8798,1224.3,220.741,622,183
2070.49,11.1585,-68.8798,1224.3,220.741,716,185
2076.29,21.6193,-74.5271,1224.3,220.741,766,187
2082.29,21.6193,-74.5271,1416.85,233.455,802,187
2088.32,21.6193,-74.5271,1416.85,233.455,825,188
2094.33,21.6193,-74.5271,1416.85,233.455,835,189
2100.34,21.6193,-74.5271,1416.85,233.455,834,189
2106.36,21.6193,-74.5271,1416.85,233.455,825,189
2112.35,21.6193,-74.5271,1416.85,233.455,800,190
2118.44,21.6193,-74.5271,1416.85,233.455,762,190
2124.32,21.6193,-74.5271,1416.85,233.455,729,190
2130.33,21.6193,-74.5271,1416.85,233.455,711,189
2136.33,21.6193,-74.5271,1416.85,233.455,704,190
2142.34,21.6193,-74.5271,1416.85,233.455,703,189
2147.92,21.6193,-74.5271,1416.85,233.455,702,190
2153.76,33.242,-79.5235,1222.01,248.405,701,189
2159.32,33.242,-79.5235,1222.01,248.405,701,190
2165.43,33.242,-79.5235,1222.01,248.405,703,189
2171.41,33.242,-79.5235,1222.01,248.405,714,190
2177.41,33.242,-79.5235,1222.01,248.405,743,190
2192.44,33.242,-79.5235,1222.01,248.405,897,197
2198.45,33.242,-79.5235,1222.01,248.405,982,205
2204.49,33.242,-79.5235,1222.01,248.405,1058,213
2210.56,33.242,-79.5235,1222.01,248.405,1115,222
2216.5,33.242,-79.5235,1222.01,248.405,1156,228
2222.49,33.242,-79.5235,1222.01,248.405,1185,232
2228.33,33.242,-79.5235,1222.01,248.405,1201,235
2234.32,33.242,-79.5235,1222.01,248.405,1206,236
2240.38,46.561,-83.6436,1192.25,258.336,1208,237
2246.48,46.561,-83.6436,1192.25,258.336,1209,241
2252.51,46.561,-83.6436,1192.25,258.336,1208,251
2258.4,46.561,-83.6436,1192.25,258.336,1208,257
2264.47,46.561,-83.6436,1192.25,258.336,1208,259
2270.51,46.561,-83.6436,1192.25,258.336,1208,260
2276.48,46.561,-83.6436,1192.25,258.336,1208,261
2282.46,46.561,-83.6436,1192.25,258.336,1208,261
2288.5,46.561,-83.6436,1192.25,258.336,1208,261
2294.62,46.561,-83.6436,1192.25,258.336,1208,261
2300.63,46.561,-83.6436,1192.25,258.336,1208,261
2306.47,46.561,-83.6436,1192.25,258.336,1208,261
2312.38,46.561,-83.6436,1192.25,258.336,1208,261
2318.53,59.9744,-87.4204,934.557,269.441,1208,261
2324.5,59.9744,-87.4204,934.557,269.441,1206,261
2330.45,59.9744,-87.4204,934.557,269.441,1196,262
2336.45,59.9744,-87.4204,934.557,269.441,1171,262
2342.46,59.9744,-87.4204,934.557,269.441,1128,263
2348.46,59.9744,-87.4204,934.557,269.441,1071,264
2354.46,59.9744,-87.4204,934.557,269.441,1018,265
2360.4,59.9744,-87.4204,934.557,269.441,980,267
2366.45,59.9744,-87.4204,934.557,269.441,954,268
2372.45,59.9744,-87.4204,934.557,269.441,943,268
2378.54,59.9744,-87.4204,934.557,269.441,940,268
2384.43,59.9744,-87.4204,934.557,269.441,939,268
2391.01,75.8398,-89.3232,645.365,271.809,938,268
2396.47,75.8398,-89.3232,645.365,271.809,937,269
2402.55,75.8398,-89.3232,645.365,271.809,927,269
2408.55,75.8398,-89.3232,645.365,271.809,902,269
2414.49,75.8398,-89.3232,645.365,271.809,861,269
2420.57,75.8398,-89.3232,645.365,271.809,806,269
2426.49,75.8398,-89.3232,645.365,271.809,744,269
2432.58,75.8398,-89.3232,645.365,271.809,692,270
2438.58,75.8398,-89.3232,645.365,271.809,658,270
2444.54,75.8398,-89.3232,645.365,271.809,639,270
2450.58,75.8398,-89.3232,645.365,271.809,632,270
2456.73,75.8398,-89.3232,645.365,271.809,631,270
2462.56,75.8398,-89.3232,645.365,271.809,630,270
2468.48,75.8398,-89.3232,645.365,271.809,630,270
2474.48,75.8398,-89.3232,645.365,271.809,629,270
2480.48,75.8398,-89.3232,645.365,271.809,629,270
2486.43,75.8398,-89.3232,645.365,271.809,628,270
2492.49,75.8398,-89.3232,774.112,267.97,628,270
2498.54,75.8398,-89.3232,774.112,267.97,628,270
2504.49,75.8398,-89.3232,774.112,267.97,632,270
2510.66,75.8398,-89.3232,774.112,267.97,650,270
2516.54,75.8398,-89.3232,774.112,267.97,685,270
2522.5,75.8398,-89.3232,774.112,267.97,717,270
2528.55,75.8398,-89.3232,774.112,267.97,738,270
2534.55,75.8398,-89.3232,774.112,267.97,747,270
2540.51,75.8398,-89.3232,774.112,267.97,749,270
2546.45,75.8398,-89.3232,774.112,267.97,750,271
2552.53,94.0999,-76.2526,69.0515,194.068,752,271
2558.6,94.0999,-76.2526,69.0515,194.068,751,271
2564.59,94.0999,-76.2526,69.0515,194.068,743,271
2570.58,94.0999,-76.2526,69.0515,194.068,717,270
2576.58,94.0999,-76.2526,69.0515,194.068,670,270
2582.64,94.0999,-76.2526,69.0515,194.068,607,268
2588.55,94.0999,-76.2526,69.0515,194.068,532,264
2594.71,94.0999,-76.2526,69.0515,194.068,435,257
2600.75,94.0999,-76.2526,69.0515,194.068,342,248
2606.83,94.0999,-76.2526,69.0515,194.068,264,239
2612.77,94.0999,-76.2526,69.0515,194.068,202,230
2618.67,94.0999,-76.2526,69.0515,194.068,154,222
2624.67,94.0999,-76.2526,69.0515,194.068,119,219
2630.59,94.0999,-76.2526,69.0515,194.068,100,216
2636.67,99.6022,-55.7265,69.0515,194.068,92,214
