Kp,3,Ki,0.03,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
5.48805,10.4182,-38.8351,0,0,0,0
11.4572,10.4182,-38.8351,0,0,0,0
17.4091,10.4182,-38.8351,0,0,0,0
23.4082,10.4182,-38.8351,0,0,0,0
29.5603,10.4182,-38.8351,0,0,0,0
35.5591,10.4182,-38.8351,0,0,0,0
41.5622,10.4182,-38.8351,0,0,0,0
47.4644,10.4182,-38.8351,0,0,0,0
53.4593,10.4182,-38.8351,0,0,0,0
59.4429,10.4182,-38.8351,0,0,0,0
65.4549,10.4182,-38.8351,0,0,0,0
71.4397,10.4182,-38.8351,0,0,0,0
77.4029,10.4182,-38.8351,0,0,0,0
83.3877,10.4182,-38.8351,0,0,0,0
89.3785,10.4182,-38.8351,0,0,0,0
95.402,10.4182,-38.8351,0,0,0,0
101.413,10.4182,-38.8351,0,0,0,0
107.477,10.4182,-38.8351,0,0,0,0
114.849,10.4182,-38.8351,0,0,0,0
120.503,10.4184,-38.8116,0,0,0,0
126.607,10.4184,-38.8116,0,0,0,0
132.444,10.4184,-38.8116,0,0,0,0
138.468,10.4184,-38.8116,0,0,0,0
144.613,10.4184,-38.8116,0,0,0,0
150.703,10.4184,-38.8116,0,0,0,0
156.712,10.4184,-38.8116,0,0,0,0
162.711,10.4184,-38.8116,0,0,0,0
168.717,10.4184,-38.8116,0,0,0,0
174.648,10.4184,-38.8116,0,0,0,0
180.528,10.4184,-38.8116,0,0,0,0
186.523,10.4184,-38.8116,0,0,0,0
192.485,10.4184,-38.8116,0,0,0,0
198.553,10.4368,-38.829,-75.9878,188.53,0,0
204.711,10.4368,-38.829,-75.9878,188.53,0,0
210.661,10.4368,-38.829,-75.9878,188.53,-2,5
216.538,10.4368,-38.829,-75.9878,188.53,-6,20
222.67,10.4368,-38.829,-75.9878,188.53,-18,57
228.669,10.4368,-38.829,-75.9878,188.53,-37,103
234.59,10.4368,-38.829,-75.9878,188.53,-52,139
240.69,10.4368,-38.829,-75.9878,188.53,-62,163
246.765,10.4368,-38.829,-75.9878,188.53,-68,172
252.767,10.4368,-38.829,-75.9878,188.53,-69,175
258.764,10.4368,-38.829,-75.9878,188.53,-70,176
264.772,10.4368,-38.829,-75.9878,188.53,-70,177
270.772,10.4368,-38.829,-75.9878,188.53,-70,177
277.562,10.4368,-38.829,-75.9878,188.53,-71,178
283.575,10.4368,-38.829,-75.9878,188.53,-71,179
289.636,10.3927,-38.8269,-87.0711,116.477,-71,179
295.806,10.3927,-38.8269,-87.0711,116.477,-72,179
301.576,10.3927,-38.8269,-87.0711,116.477,-74,176
307.72,10.3927,-38.8269,-87.0711,116.477,-80,164
313.613,10.3927,-38.8269,-87.0711,116.477,-84,154
319.651,10.3927,-38.8269,-87.0711,116.477,-86,150
325.597,10.3927,-38.8269,-87.0711,116.477,-87,150
331.554,10.3927,-38.8269,-87.0711,116.477,-88,149
337.565,10.3927,-38.8269,-87.0711,116.477,-88,148
343.736,10.3927,-38.8269,-87.0711,116.477,-88,147
349.739,10.3927,-38.8269,-87.0711,116.477,-88,146
355.6,10.3927,-38.8269,-87.0711,116.477,-88,145
361.576,10.1647,-38.3921,-96.2762,114.261,-88,143
367.758,10.1647,-38.3921,-96.2762,114.261,-89,139
373.76,10.1647,-38.3921,-96.2762,114.261,-92,126
379.757,10.1647,-38.3921,-96.2762,114.261,-95,115
385.652,10.1647,-38.3921,-96.2762,114.261,-97,111
391.774,10.1647,-38.3921,-96.2762,114.261,-97,110
397.673,10.1647,-38.3921,-96.2762,114.261,-97,108
403.721,10.1647,-38.3921,-96.2762,114.261,-98,107
409.857,10.1647,-38.3921,-96.2762,114.261,-98,107
415.847,10.1647,-38.3921,-96.2762,114.261,-99,107
421.6,10.1647,-38.3921,-96.2762,114.261,-99,106
427.647,10.1647,-38.3921,-96.2762,114.261,-100,106
434.2,10.1647,-38.3921,-96.2762,114.261,-100,105
439.837,9.56808,-37.3854,-125.974,110.288,-101,105
445.701,9.56808,-37.3854,-125.974,110.288,-102,104
451.624,9.56808,-37.3854,-125.974,110.288,-109,104
457.638,9.56808,-37.3854,-125.974,110.288,-118,104
463.656,9.56808,-37.3854,-125.974,110.288,-122,104
469.691,9.56808,-37.3854,-125.974,110.288,-124,104
475.706,9.56808,-37.3854,-125.974,110.288,-125,104
481.892,9.56808,-37.3854,-125.974,110.288,-126,104
487.775,9.56808,-37.3854,-125.974,110.288,-126,104
493.899,9.56808,-37.3854,-125.974,110.288,-127,104
499.841,9.56808,-37.3854,-125.974,110.288,-127,104
505.914,9.56808,-37.3854,-125.974,110.288,-128,104
511.758,9.56808,-37.3854,-125.974,110.288,-128,104
517.688,9.56808,-37.3854,-125.974,110.288,-128,104
524.486,8.91472,-37.5161,-150.117,112.782,-128,104
530.857,8.91472,-37.5161,-150.117,112.782,-129,104
536.93,8.91472,-37.5161,-150.117,112.782,-136,104
542.862,8.91472,-37.5161,-150.117,112.782,-143,104
548.93,8.91472,-37.5161,-150.117,112.782,-145,104
554.862,8.91472,-37.5161,-150.117,112.782,-147,104
560.871,8.91472,-37.5161,-150.117,112.782,-147,104
566.761,8.91472,-37.5161,-150.117,112.782,-148,104
572.955,8.91472,-37.5161,-150.117,112.782,-149,104
578.821,8.91472,-37.5161,-150.117,112.782,-149,104
584.962,8.91472,-37.5161,-150.117,112.782,-149,104
590.895,8.91472,-37.5161,-150.117,112.782,-149,104
601.213,8.91472,-37.5161,-150.117,112.782,-149,104
606.768,8.26705,-37.3167,-163.18,111.579,-150,104
612.906,8.26705,-37.3167,-163.18,111.579,-152,105
618.769,8.26705,-37.3167,-163.18,111.579,-156,105
624.957,8.26705,-37.3167,-163.18,111.579,-159,105
630.969,8.26705,-37.3167,-163.18,111.579,-160,105
636.734,8.26705,-37.3167,-163.18,111.579,-160,105
642.968,8.26705,-37.3167,-163.18,111.579,-161,105
648.981,8.26705,-37.3167,-163.18,111.579,-162,106
654.739,8.26705,-37.3167,-163.18,111.579,-162,106
660.985,8.26705,-37.3167,-163.18,111.579,-162,106
666.988,8.26705,-37.3167,-163.18,111.579,-162,106
672.827,8.26705,-37.3167,-163.18,111.579,-162,106
678.781,7.89712,-37.102,-163.18,111.579,-162,106
684.948,7.89712,-37.102,-173.834,110.886,-162,106
690.951,7.89712,-37.102,-173.834,110.886,-166,108
697.003,7.89712,-37.102,-173.834,110.886,-170,108
702.855,7.89712,-37.102,-173.834,110.886,-171,108
708.963,7.89712,-37.102,-173.834,110.886,-172,108
715.019,7.89712,-37.102,-173.834,110.886,-173,109
720.964,7.89712,-37.102,-173.834,110.886,-173,109
727.024,7.89712,-37.102,-173.834,110.886,-173,109
732.894,7.89712,-37.102,-173.834,110.886,-173,109
739.028,7.89712,-37.102,-173.834,110.886,-173,109
744.862,7.89712,-37.102,-173.834,110.886,-173,110
751.059,7.89712,-37.102,-173.834,110.886,-173,110
756.837,7.89712,-37.102,-173.834,110.886,-173,110
763.071,7.95653,-37.1804,-173.834,110.886,-173,110
768.929,7.95653,-37.1804,-209.554,111.681,-173,111
775.098,7.95653,-37.1804,-209.554,111.681,-177,111
781.058,7.95653,-37.1804,-209.554,111.681,-191,111
787.01,7.95653,-37.1804,-209.554,111.681,-203,112
792.929,7.95653,-37.1804,-209.554,111.681,-206,112
799.074,7.95653,-37.1804,-209.554,111.681,-208,112
805.065,7.95653,-37.1804,-209.554,111.681,-209,113
810.86,7.95653,-37.1804,-209.554,111.681,-209,113
817.033,7.95653,-37.1804,-209.554,111.681,-209,113
823.081,7.95653,-37.1804,-209.554,111.681,-209,113
828.9,7.95653,-37.1804,-209.554,111.681,-210,114
834.879,7.95653,-37.1804,-209.554,111.681,-210,114
841.182,8.3021,-37.3395,-212.448,112.332,-210,115
847.041,8.3021,-37.3395,-212.448,112.332,-211,115
853.044,8.3021,-37.3395,-212.448,112.332,-211,116
859.047,8.3021,-37.3395,-212.448,112.332,-211,116
865.049,8.3021,-37.3395,-212.448,112.332,-211,116
871.154,8.3021,-37.3395,-212.448,112.332,-212,116
877.139,8.3021,-37.3395,-212.448,112.332,-212,116
883.136,8.3021,-37.3395,-212.448,112.332,-212,116
889.144,8.3021,-37.3395,-212.448,112.332,-212,116
895.149,8.3021,-37.3395,-212.448,112.332,-212,116
900.979,8.3021,-37.3395,-212.448,112.332,-212,116
