Kp,3,Ki,0.03,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
5.30381,10.7268,-38.7637,0,0,0,0
70.403,10.7268,-38.7637,0,0,0,0
76.3244,10.7548,-38.7746,-78.2486,188.931,0,0
82.3674,10.7548,-38.7746,-78.2486,188.931,0,0
88.2917,10.7548,-38.7746,-78.2486,188.931,0,0
94.3307,10.7548,-38.7746,-78.2486,188.931,0,0
100.367,10.7548,-38.7746,-78.2486,188.931,0,0
106.331,10.7548,-38.7746,-78.2486,188.931,0,0
112.291,10.7548,-38.7746,-78.2486,188.931,0,0
118.294,10.7548,-38.7746,-78.2486,188.931,0,0
124.346,10.7548,-38.7746,-78.2486,188.931,0,0
130.307,10.7548,-38.7746,-78.2486,188.931,0,0
136.362,10.7548,-38.7746,-78.2486,188.931,0,0
142.299,10.7548,-38.7746,-78.2486,188.931,0,0
148.312,10.7548,-38.7746,-78.2486,188.931,0,0
154.359,10.7076,-38.7806,-83.4782,116.353,0,0
160.361,10.7076,-38.7806,-83.4782,116.353,0,0
166.345,10.7076,-38.7806,-83.4782,116.353,0,0
172.35,10.7076,-38.7806,-83.4782,116.353,0,0
178.31,10.7076,-38.7806,-83.4782,116.353,0,0
184.35,10.7076,-38.7806,-83.4782,116.353,0,0
190.351,10.7076,-38.7806,-83.4782,116.353,0,0
196.349,10.7076,-38.7806,-83.4782,116.353,0,0
202.348,10.7076,-38.7806,-83.4782,116.353,0,0
208.353,10.7076,-38.7806,-83.4782,116.353,0,0
214.315,10.7076,-38.7806,-83.4782,116.353,0,0
220.314,10.7076,-38.7806,-83.4782,116.353,0,0
226.259,10.7076,-38.7806,-83.4782,116.353,0,0
232.38,10.7076,-38.7806,-83.4782,116.353,0,0
238.322,10.7301,-38.7853,-109.587,116.365,0,0
244.361,10.7301,-38.7853,-109.587,116.365,0,0
250.325,10.7301,-38.7853,-109.587,116.365,0,0
256.364,10.7301,-38.7853,-109.587,116.365,0,0
262.365,10.7301,-38.7853,-109.587,116.365,0,0
268.403,10.7301,-38.7853,-109.587,116.365,0,0
274.385,10.7301,-38.7853,-109.587,116.365,0,0
280.366,10.7301,-38.7853,-109.587,116.365,0,0
286.371,10.7301,-38.7853,-109.587,116.365,0,0
292.385,10.7301,-38.7853,-109.587,116.365,0,0
298.333,10.7301,-38.7853,-109.587,116.365,0,0
304.333,10.7301,-38.7853,-109.587,116.365,0,0
310.338,10.7301,-38.7853,-109.587,116.365,0,0
316.381,10.7432,-38.8201,-135.364,116.526,0,0
322.379,10.7432,-38.8201,-135.364,116.526,0,0
328.417,10.7432,-38.8201,-135.364,116.526,0,0
334.382,10.7432,-38.8201,-135.364,116.526,0,0
340.347,10.7432,-38.8201,-135.364,116.526,0,0
346.383,10.7432,-38.8201,-135.364,116.526,0,0
352.347,10.7432,-38.8201,-135.364,116.526,0,0
358.413,10.7432,-38.8201,-135.364,116.526,0,0
364.412,10.7432,-38.8201,-135.364,116.526,0,0
370.349,10.7432,-38.8201,-135.364,116.526,0,0
376.389,10.7432,-38.8201,-135.364,116.526,0,0
382.351,10.7432,-38.8201,-135.364,116.526,0,0
388.413,10.7432,-38.8201,-135.364,116.526,0,0
394.468,10.73,-38.7662,-161.005,116.198,0,0
400.412,10.73,-38.7662,-161.005,116.198,0,0
406.401,10.73,-38.7662,-161.005,116.198,0,0
412.364,10.73,-38.7662,-161.005,116.198,0,0
418.364,10.73,-38.7662,-161.005,116.198,0,0
424.415,10.73,-38.7662,-161.005,116.198,0,0
430.405,10.73,-38.7662,-161.005,116.198,0,0
436.403,10.73,-38.7662,-161.005,116.198,0,0
442.364,10.73,-38.7662,-161.005,116.198,0,0
448.364,10.73,-38.7662,-161.005,116.198,0,0
454.404,10.73,-38.7662,-161.005,116.198,0,0
460.375,10.73,-38.7662,-161.005,116.198,0,0
466.39,10.73,-38.7662,-161.005,116.198,0,0
472.311,10.73,-38.7662,-161.005,116.198,0,0
478.394,10.7536,-38.7691,-186.748,116.312,0,0
484.417,10.7536,-38.7691,-186.748,116.312,0,0
490.38,10.7536,-38.7691,-186.748,116.312,0,0
496.42,10.7536,-38.7691,-186.748,116.312,0,0
502.38,10.7536,-38.7691,-186.748,116.312,0,0
508.384,10.7536,-38.7691,-186.748,116.312,0,0
514.421,10.7536,-38.7691,-186.748,116.312,0,0
520.386,10.7536,-38.7691,-186.748,116.312,0,0
526.423,10.7536,-38.7691,-186.748,116.312,0,0
532.388,10.7536,-38.7691,-186.748,116.312,0,0
538.386,10.7536,-38.7691,-186.748,116.312,0,0
544.436,10.7536,-38.7691,-186.748,116.312,0,0
550.388,10.7536,-38.7691,-186.748,116.312,0,0
556.432,10.7352,-38.7609,-212.76,116.267,0,0
562.43,10.7352,-38.7609,-212.76,116.267,0,0
568.396,10.7352,-38.7609,-212.76,116.267,0,0
574.445,10.7352,-38.7609,-212.76,116.267,0,0
580.398,10.7352,-38.7609,-212.76,116.267,0,0
586.437,10.7352,-38.7609,-212.76,116.267,0,0
592.401,10.7352,-38.7609,-212.76,116.267,0,0
598.402,10.7352,-38.7609,-212.76,116.267,0,0
604.469,10.7352,-38.7609,-212.76,116.267,0,0
610.447,10.7352,-38.7609,-212.76,116.267,0,0
616.443,10.7352,-38.7609,-212.76,116.267,0,0
622.44,10.7352,-38.7609,-212.76,116.267,0,0
628.407,10.7352,-38.7609,-212.76,116.267,0,0
634.468,10.7539,-38.7989,-238.477,116.468,0,0
640.411,10.7539,-38.7989,-238.477,116.468,0,0
646.453,10.7539,-38.7989,-238.477,116.468,0,0
652.417,10.7539,-38.7989,-238.477,116.468,0,0
658.454,10.7539,-38.7989,-238.477,116.468,0,0
664.468,10.7539,-38.7989,-238.477,116.468,0,0
670.417,10.7539,-38.7989,-238.477,116.468,0,0
676.457,10.7539,-38.7989,-238.477,116.468,0,0
682.424,10.7539,-38.7989,-238.477,116.468,0,0
688.42,10.7539,-38.7989,-238.477,116.468,0,0
694.463,10.7539,-38.7989,-238.477,116.468,0,0
700.462,10.7539,-38.7989,-238.477,116.468,0,0
706.52,10.7539,-38.7989,-238.477,116.468,0,0
712.364,10.7539,-38.7989,-238.477,116.468,0,0
718.468,10.7104,-38.7824,-264.131,116.316,0,0
724.485,10.7104,-38.7824,-264.131,116.316,0,0
730.434,10.7104,-38.7824,-264.131,116.316,0,0
736.486,10.7104,-38.7824,-264.131,116.316,0,0
742.436,10.7104,-38.7824,-264.131,116.316,0,0
748.436,10.7104,-38.7824,-264.131,116.316,0,0
754.506,10.7104,-38.7824,-264.131,116.316,0,0
760.441,10.7104,-38.7824,-264.131,116.316,0,0
766.48,10.7104,-38.7824,-264.131,116.316,0,0
772.462,10.7104,-38.7824,-264.131,116.316,0,0
778.474,10.7104,-38.7824,-264.131,116.316,0,0
784.483,10.7104,-38.7824,-264.131,116.316,0,0
790.445,10.7104,-38.7824,-264.131,116.316,0,0
796.486,10.7363,-38.7845,-289.914,116.357,0,0
802.449,10.7363,-38.7845,-289.914,116.357,0,0
808.451,10.7363,-38.7845,-289.914,116.357,0,0
814.535,10.7363,-38.7845,-289.914,116.357,0,0
820.453,10.7363,-38.7845,-289.914,116.357,0,0
826.507,10.7363,-38.7845,-289.914,116.357,0,0
832.456,10.7363,-38.7845,-289.914,116.357,0,0
838.459,10.7363,-38.7845,-289.914,116.357,0,0
844.504,10.7363,-38.7845,-289.914,116.357,0,0
850.459,10.7363,-38.7845,-289.914,116.357,0,0
856.472,10.7363,-38.7845,-289.914,116.357,0,0
862.498,10.7363,-38.7845,-289.914,116.357,0,0
868.46,10.7363,-38.7845,-289.914,116.357,0,0
874.531,10.749,-38.781,-315.516,116.337,0,0
880.507,10.749,-38.781,-315.516,116.337,0,0
