Kp,5,Ki,0.02,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
700.402,28.0804,-21.7161,-534.012,108.739,-515,106
706.668,28.0804,-21.7161,-534.012,108.739,-516,106
712.667,28.0804,-21.7161,-534.012,108.739,-523,106
718.57,28.0804,-21.7161,-534.012,108.739,-530,106
724.646,28.0804,-21.7161,-534.012,108.739,-532,106
730.756,28.0804,-21.7161,-534.012,108.739,-533,106
736.573,28.0804,-21.7161,-534.012,108.739,-534,107
742.761,28.0804,-21.7161,-534.012,108.739,-535,107
748.7,28.0804,-21.7161,-534.012,108.739,-535,107
754.582,28.0804,-21.7161,-534.012,108.739,-537,107
760.649,28.0804,-21.7161,-534.012,108.739,-537,107
766.582,28.0804,-21.7161,-534.012,108.739,-537,107
772.634,28.0804,-21.7161,-534.012,108.739,-537,107
778.586,22.2594,-21.3162,-534.012,108.739,-537,107
784.591,22.2594,-21.3162,-535.453,105.826,-537,107
790.778,22.2594,-21.3162,-535.453,105.826,-537,107
796.774,22.2594,-21.3162,-535.453,105.826,-537,107
802.773,22.2594,-21.3162,-535.453,105.826,-537,107
808.67,22.2594,-21.3162,-535.453,105.826,-537,108
814.602,22.2594,-21.3162,-535.453,105.826,-537,108
820.724,22.2594,-21.3162,-535.453,105.826,-537,108
826.648,22.2594,-21.3162,-535.453,105.826,-537,108
832.789,22.2594,-21.3162,-535.453,105.826,-537,108
838.684,22.2594,-21.3162,-535.453,105.826,-537,108
844.633,22.2594,-21.3162,-535.453,105.826,-537,108
850.673,22.2594,-21.3162,-535.453,105.826,-537,108
856.541,22.2594,-21.3162,-535.453,105.826,-537,108
862.648,15.4056,-20.3927,-533.516,100.256,-537,108
868.722,15.4056,-20.3927,-533.516,100.256,-537,108
874.689,15.4056,-20.3927,-533.516,100.256,-536,108
880.706,15.4056,-20.3927,-533.516,100.256,-536,108
886.664,15.4056,-20.3927,-533.516,100.256,-536,108
892.701,15.4056,-20.3927,-533.516,100.256,-536,108
